type,date,state
CUSTOM,04192001,MI
CUSTOM,09282004,MI
CUSTOM,09182000,MI
CUSTOM,01092001,MI
CUSTOM,10042003,MI
CUSTOM,06092003,MI
CUSTOM,01261999,MI
CUSTOM,06142004,MI
CUSTOM,05102004,MI
CUSTOM,09221998,MI
CUSTOM,10042005,MI
CUSTOM,03162000,MI
CUSTOM,04131999,MI
CUSTOM,10302002,MI
CUSTOM,03062003,MI
CUSTOM,08142003,MI
CUSTOM,07282003,MI
CUSTOM,09252002,MI
NOVEMBER CONSOLIDATED,11082011,MI
CUSTOM,04072003,MI
CUSTOM,08302004,MI
CUSTOM,09131999,MI
CUSTOM,10202003,MI
CUSTOM,03192002,MI
CUSTOM,09112001,MI
CUSTOM,10032000,MI
CUSTOM,03042000,MI
CUSTOM,07152004,MI
CUSTOM,04292000,MI
CUSTOM,06141999,MI
CUSTOM,09252001,MI
CUSTOM,05112004,MI
CUSTOM,07012002,MI
CUSTOM,04012003,MI
CUSTOM,10282002,MI
CUSTOM,02062001,MI
MAY CONSOLIDATED,05082007,MI
CUSTOM,05162002,MI
CUSTOM,05052003,MI
CUSTOM,09211999,MI
CUSTOM,04022002,MI
CUSTOM,08211997,MI
CUSTOM,06081998,MI
CUSTOM,04011999,MI
CUSTOM,06011999,MI
CUSTOM,11021999,MI
CUSTOM,02182001,MI
STATE PRIMARY,08022016,MI
CUSTOM,10051999,MI
CUSTOM,06122001,MI
CUSTOM,05162000,MI
SEPTEMBER SPECIAL,09142010,MI
FEBRUARY CONSOLIDATED,02242015,MI
CUSTOM,01052002,MI
CUSTOM,10312001,MI
CUSTOM,04051999,MI
STATE PRIMARY,08032010,MI
CUSTOM,11052002,MI
CUSTOM,03292003,MI
CUSTOM,02091999,MI
CUSTOM,01012000,MI
STATE PRIMARY,08072012,MI
AUGUST CONSOLIDATED,08072007,MI
CUSTOM,10012002,MI
CUSTOM,03231999,MI
CUSTOM,12182001,MI
CUSTOM,03252000,MI
CUSTOM,02022004,MI
CUSTOM,03202000,MI
CUSTOM,09092004,MI
CUSTOM,12022003,MI
CUSTOM,08072001,MI
CUSTOM,11091999,MI
CUSTOM,08142001,MI
CUSTOM,08201998,MI
CUSTOM,03262001,MI
CUSTOM,02192001,MI
CUSTOM,05202003,MI
CUSTOM,06052001,MI
CUSTOM,01121999,MI
CUSTOM,11302005,MI
